ticker,transaction_key,transaction_date,reporting_name,transaction_type,shares,price,value,filing_date,securities_owned
NEM,ce92e16f1153,2026-02-27,TOTH PETER,F-INKIND,2188.0,127.47,278904.36,2026-03-02,56823.0
NEM,057573fae555,2026-02-26,VILJOEN NATASCHA,F-INKIND,5208.0,124.85,650218.7999999999,2026-03-02,146881.0
NEM,e619e26f9520,2026-02-27,RODGERS MARK C,S-SALE,4443.0,130.0,577590.0,2026-03-02,27807.0
NEM,e655ca6369b8,2026-02-26,CMIL JENNIFER,F-INKIND,1451.0,124.85,181157.35,2026-03-02,70135.0
NEM,a2db524392a6,2026-02-27,CMIL JENNIFER,F-INKIND,1683.0,127.47,214532.01,2026-03-02,68452.0
NEM,28ced005cff8,2026-02-25,RODGERS MARK C,S-SALE,5147.0,125.0,643375.0,2026-02-27,32250.0
NEM,ceb43d941c45,2026-02-23,THORNTON DAVID JOHN,A-AWARD,4426.0,0.0,0.0,2026-02-25,39923.0
NEM,f70a4ed94ca1,2026-02-24,THORNTON DAVID JOHN,F-INKIND,1367.0,124.25,169849.75,2026-02-25,38556.0
NEM,a9ee106fe70e,2026-02-23,TABOLT BRIAN,A-AWARD,5277.0,0.0,0.0,2026-02-25,37403.0
NEM,8fa2ddf69f2f,2026-02-24,TABOLT BRIAN,F-INKIND,967.0,124.25,120149.75,2026-02-25,36436.0
NEM,25f664ad62a2,2026-02-23,TABOLT BRIAN,A-AWARD,2213.0,0.0,0.0,2026-02-25,32126.0
NEM,59e0e6f98e5f,2026-02-23,FRY DAVID JAMES,A-AWARD,3219.0,0.0,0.0,2026-02-25,34724.0
NEM,11c156418dee,2026-02-23,WEXLER PETER,A-AWARD,4694.0,0.0,0.0,2026-02-25,93463.0
NEM,fc729e2ab907,2026-02-24,WEXLER PETER,F-INKIND,1812.0,124.25,225141.0,2026-02-25,91651.0
NEM,bfb00caa974b,2026-02-23,TOTH PETER,A-AWARD,5902.0,0.0,0.0,2026-02-25,64638.0
